	Unnamed: 0	platform	phase/arg_situation	method	adressee, reference	function	intent	impl_expl	pos_neg	easy translation	User	topic	link	connected	utterance	Effekt	lecture	praise	insinuation	dissence	concession	td-type
	berit										2010ff	politics	https://www.tagesspiegel.de/politik/vorwahlkampf-der-us-demokraten-joe-biden-auf-dem-weg-zur-nominierung/25631136.html		Biden kann durchaus einen Durchmarsch machen.	insinuation						
	berit										2010ff	politics	https://www.tagesspiegel.de/politik/vorwahlkampf-der-us-demokraten-joe-biden-auf-dem-weg-zur-nominierung/25631136.html		Er wird anschließend fachgerecht zerpflügt werden	insinuation						
	berit										sar	politics	https://www.tagesspiegel.de/politik/vorwahlkampf-der-us-demokraten-joe-biden-auf-dem-weg-zur-nominierung/25631136.html		Ok. Es wird also wahrscheinlich Biden werden.	insinuation						
	berit										CaliGuy	politics	https://www.tagesspiegel.de/politik/vorwahlkampf-der-us-demokraten-joe-biden-auf-dem-weg-zur-nominierung/25631136.html		Sanders und Warren vertreten nicht wirklich ähnliche Position.	insinuation						
	berit										Schmocksberg	music	https://www.tagesspiegel.de/kultur/rapperin-sookee-ueber-ihren-abschied-jedes-konzert-muss-ein-abriss-sein/25618754.html		Zeit, erwachsen zu werden und sich ein erwachsenes Umfeld zu suchen.	lecture						
	berit										Schmocksberg	music	https://www.tagesspiegel.de/kultur/rapperin-sookee-ueber-ihren-abschied-jedes-konzert-muss-ein-abriss-sein/25618754.html		Das Interview liefert leider keine Antworten auf diese interessanten Fragen.	dissence						
	berit										maxost	music	https://www.tagesspiegel.de/kultur/rapperin-sookee-ueber-ihren-abschied-jedes-konzert-muss-ein-abriss-sein/25618754.html		Erfolg und Anerkennung ist etwas das man sich beim Publikum erarbeiten muss.	lecture						
	berit										Jelissei	music	https://www.tagesspiegel.de/kultur/rapperin-sookee-ueber-ihren-abschied-jedes-konzert-muss-ein-abriss-sein/25618754.html		Ihre Kritik geht vollkommen ins Leere.	dissence						
	berit										Jelissei	music	https://www.tagesspiegel.de/kultur/rapperin-sookee-ueber-ihren-abschied-jedes-konzert-muss-ein-abriss-sein/25618754.html		Solch eine Empörungsmentalität ist echt traurig.	dissence						
	berit										Big Papa	society	https://www.zeit.de/kultur/film/2020-03/harvey-weinstein-zu-23-jahren-haft-verurteilt		Gute Nachricht.	praise						
	berit										Kyösti Vitus	society	https://www.zeit.de/kultur/film/2020-03/harvey-weinstein-zu-23-jahren-haft-verurteilt		Dies kann nur der Anfang von vielen Verurteilungen sein.	lecture						
	berit										Milva LXI.	society	https://www.zeit.de/kultur/film/2020-03/harvey-weinstein-zu-23-jahren-haft-verurteilt		Das Urteil ist maßlos, wie vieles aus den USA.	insinuation						
	berit										Rheinländer	society	https://www.zeit.de/kultur/film/2020-03/harvey-weinstein-zu-23-jahren-haft-verurteilt		Dieser Typ Mann ist leider sehr verbreitet.	insinuation						
	berit										Ciolith	society	https://www.zeit.de/kultur/film/2020-03/harvey-weinstein-zu-23-jahren-haft-verurteilt		Über die Angemessenheit des Strafmaßes kann man sicherlich diskutieren.	concession						
	berit										FelixLassmann	society	https://www.zeit.de/kultur/film/2020-03/harvey-weinstein-zu-23-jahren-haft-verurteilt		Es gibt sie noch, die erfreulichen Nachrichten.	praise						
	berit										Dr. Huber	society	https://www.zeit.de/kultur/film/2020-03/harvey-weinstein-zu-23-jahren-haft-verurteilt		Gerechte Strafe!	praise						
	berit										anton014	music	https://www.zeit.de/kultur/musik/2020-03/led-zeppelin-stairway-to-heaven-plagiat-freispruch-urheberrecht		Amerikanische Anwälte werden immer versuchen, aus Jedem und Allem ihren Profit zu schlagen.	insinuation						
	berit										Que Che	music	https://www.zeit.de/kultur/musik/2020-03/led-zeppelin-stairway-to-heaven-plagiat-freispruch-urheberrecht		Wer die Lieder verglichen hat weiss: es ist eines.	lecture						
	berit										Que Che	music	https://www.zeit.de/kultur/musik/2020-03/led-zeppelin-stairway-to-heaven-plagiat-freispruch-urheberrecht		Dann haben Sie das falsche Lied angehört.	lecture						
	berit										kajot	music	https://www.zeit.de/kultur/musik/2020-03/led-zeppelin-stairway-to-heaven-plagiat-freispruch-urheberrecht		Ansonsten sind Juristen bei solchen Fällen völlig überfordert	insinuation						
	berit										Que Che	music	https://www.zeit.de/kultur/musik/2020-03/led-zeppelin-stairway-to-heaven-plagiat-freispruch-urheberrecht		Das abzustreiten ist lächerlich.	dissence						
	berit										Sokrat3s	music	https://www.zeit.de/kultur/musik/2020-03/led-zeppelin-stairway-to-heaven-plagiat-freispruch-urheberrecht		Da lohnt sich jede Berufung und der Gang durch sämtliche Instanzen...	insinuation						
	berit										Simplicio	music	https://www.zeit.de/kultur/musik/2020-03/led-zeppelin-stairway-to-heaven-plagiat-freispruch-urheberrecht		Popmusik und Plagiat gehört irgenwie zusammen	insinuation						
	berit										Zeno Kortin	music	https://www.zeit.de/kultur/musik/2020-03/led-zeppelin-stairway-to-heaven-plagiat-freispruch-urheberrecht		Ist ziemlich lustig.	praise						
	berit										Gravitationswellen	music	https://www.zeit.de/kultur/musik/2020-03/led-zeppelin-stairway-to-heaven-plagiat-freispruch-urheberrecht		Led Zeppelin hat nicht geklaut, Leute das ist Led Zeppelin.	insinuation						
	berit										wandalina	music	https://www.zeit.de/kultur/musik/2020-03/led-zeppelin-stairway-to-heaven-plagiat-freispruch-urheberrecht		Das Gericht hat entschieden und das sollte man aktzeptieren	lecture						
	berit										Horror-Clown	music	https://www.zeit.de/kultur/musik/2020-03/led-zeppelin-stairway-to-heaven-plagiat-freispruch-urheberrecht		Erstaunlich wie viele Wahrheit verleugnen wenn sie ihnen nicht gefällt.	dissence						
	berit										wandalina	music	https://www.zeit.de/kultur/musik/2020-03/led-zeppelin-stairway-to-heaven-plagiat-freispruch-urheberrecht		Horror was Sie da los lassen	dissence						
	berit										sweetspot66	music	https://www.zeit.de/kultur/musik/2020-03/led-zeppelin-stairway-to-heaven-plagiat-freispruch-urheberrecht		Zumal die Herren Page und Plant den Song 100%-ig kannten.	insinuation						
	berit										Master-Blender	economy	https://www.zeit.de/wirtschaft/2020-03/britischer-leitzins-notenbanken-coronavirus		Das ist doch kein Argument.	dissence						
	berit										droppix	economy	https://www.zeit.de/wirtschaft/2020-03/britischer-leitzins-notenbanken-coronavirus		"""Ein negativer Leitzins ist kein Zins. """	lecture						
	berit										gottesschöpfung	music	https://www.zeit.de/kultur/musik/2020-03/placido-domingo-opernsaenger-sexuelle-uebergriffe-la-opera		Unangemessene Verhalten..	dissence						
	berit										Don Alberto	music	https://www.zeit.de/kultur/musik/2020-03/placido-domingo-opernsaenger-sexuelle-uebergriffe-la-opera		Metoo ist die neue wahre Justiz.	insinuation						
	berit										Don Alberto	music	https://www.zeit.de/kultur/musik/2020-03/placido-domingo-opernsaenger-sexuelle-uebergriffe-la-opera		Merken Sie in welchem falschen Film sie sind?	lecture						
	berit										Don Alberto	music	https://www.zeit.de/kultur/musik/2020-03/placido-domingo-opernsaenger-sexuelle-uebergriffe-la-opera		Die Causa Domingo ist der Offenbarungseid der ganzen Metoobewegung.	insinuation						
	berit										D. Meister	art	https://www.zeit.de/kultur/2020-02/christoph-schlingensief-dokumentarfilm-bettina-boehler-10nach8		Ehre sei Schlingensief.	praise						
	berit										Fu	art	https://www.zeit.de/kultur/2020-02/christoph-schlingensief-dokumentarfilm-bettina-boehler-10nach8		Toller Typ,	praise						
	berit										Zeitwesen	art	https://www.zeit.de/kultur/2020-02/christoph-schlingensief-dokumentarfilm-bettina-boehler-10nach8		Toll und gut gerade seine politischen Visionen bzw. Vorahnungen:	praise						
	berit										Juanito alimaña	art	https://www.zeit.de/kultur/2020-02/christoph-schlingensief-dokumentarfilm-bettina-boehler-10nach8		Das war er nicht, das wird ihm nicht gerecht, so ein Beitrag hat er nicht verdient.	dissence						
	mattias										Keiler	health	https://www.spiegel.de/wirtschaft/masken-gegen-corona-schutzmasken-weiterhin-mangelware-a-b1fba530-d379-452b-8add-ea9dd42d93a6#kommentare		Erinnert an den deutschen Generalstab 1941	insinuation						
	mattias										Hendrik		https://www.spiegel.de/wissenschaft/medizin/corona-in-schweden-das-missverstaendnis-vom-sonderweg-a-45f2c75f-6cad-4733-af01-9e48e89f7f93#kommentare		Hat mal einer der hiesigen Rechenkünstler den bayerischen Sonderweg mit den Zahlen von Meck-Pomm verglichen? Auch verantwortungslos?	insinuation						
	mattias										mi		https://www.spiegel.de/politik/deutschland/regierung-lenkt-im-streit-ueber-corona-app-ein-a-f621bc4d-90bd-4972-91a3-b874b50bddea#		Mit dem anfänglichen Festhalten an einer zentralen Lösung hat die Regierung die Pandemiebekämpfung unnötig verzögert.	lecture						
	mattias										Franz	politics	https://www.spiegel.de/politik/deutschland/regierung-lenkt-im-streit-ueber-corona-app-ein-a-f621bc4d-90bd-4972-91a3-b874b50bddea#kommentare		Das mit der App wird wohl wie bei den Masken laufen...	insinuation						
	mattias										Julia		https://www.spiegel.de/kultur/tv/hannelore-kohl-eine-missverstandene-frau-a-00000000-0002-0001-0000-000170604507#kommentare		Kohl könnte so groß wie Bismarck oder Friedrich der II sein, aber leider hat er sich sehr unsympathisch gemacht durch seine Polarisierungen, Angriffe auf Weggefährten, die Spendenskandale.	dissence						
	mattias										Bjorn	invironnement	https://docs.google.com/spreadsheets/d/1_2vY_Mvg-8PFHa0N7SalhmoBKtqUx-fkzPQ7PK94pyw/edit#gid=0		Feinstaub in den Städten während des lockdown mit deutlich reduzierten Autoverkehr praktisch unverändert. Diesel-Fahrverbote sind sinnlos.	dissence						
	mattias										Roland	invironnement	https://docs.google.com/spreadsheets/d/1_2vY_Mvg-8PFHa0N7SalhmoBKtqUx-fkzPQ7PK94pyw/edit#gid=0		Ich finde es ausgesprochen positiv, wenn das umweltschädliche Fracking einbricht. Von mir aus könnte das noch lange so fortbestehen.	praise						
	mattias										Carsten	politics	https://docs.google.com/spreadsheets/d/1_2vY_Mvg-8PFHa0N7SalhmoBKtqUx-fkzPQ7PK94pyw/edit#gid=0		Wer glaubt USA denkt einer Minute an das wohl der grønlænder ist sehr naiv, hier wird ein Par Dollars ausgegeben um die Macht übers Land zu erkaufen, Trump hat sich entschieden Grönland aus und auf zu saugen..	insinuation						
	mattias										Giesela	politics	https://docs.google.com/spreadsheets/d/1_2vY_Mvg-8PFHa0N7SalhmoBKtqUx-fkzPQ7PK94pyw/edit#gid=0		Und was hat die EU Grönland zu bieten? Verschlafen wir hier mal wieder die Entwicklung?	insinuation						
	mattias										Iulius	politics	https://docs.google.com/spreadsheets/d/1_2vY_Mvg-8PFHa0N7SalhmoBKtqUx-fkzPQ7PK94pyw/edit#gid=0		Als Däne und Grönländer würde ich auch zusehen, daß da Amis reinkommen. Die EU ist zu schwach. Allerdings hat Trump ja schon Begehrlichkeiten auf Grönland reklamiert. Vermutlich immer noch besser, als wenn China oder Rußland ein Auge drauf werfen.	concession						
	mattias										Furbo	politics	https://docs.google.com/spreadsheets/d/1_2vY_Mvg-8PFHa0N7SalhmoBKtqUx-fkzPQ7PK94pyw/edit#gid=0		"""Dort wo der Staat nicht rabiat abgebaut wurde, in jenen Ländern, in denen er weitestgehend intakt geblieben ist und die ihm zugedachten Aufgaben nach wie vor erfüllen kann, sind die Menschen am besten geschützt. Dort bleibt ihre Gesundheit, ihr Leben und damit auch ihre Freiheit am ehesten gewahrt."""	praise						
	mattias										Robotron	politics	https://docs.google.com/spreadsheets/d/1_2vY_Mvg-8PFHa0N7SalhmoBKtqUx-fkzPQ7PK94pyw/edit#gid=0		"""Was hilft gegen diesen Präsidenten?..."""	praise						
	mattias										Robotron	politics	https://docs.google.com/spreadsheets/d/1_2vY_Mvg-8PFHa0N7SalhmoBKtqUx-fkzPQ7PK94pyw/edit#gid=0		Desinfektionsmittel?	praise						
	mattias										Nemo	economie	https://docs.google.com/spreadsheets/d/1_2vY_Mvg-8PFHa0N7SalhmoBKtqUx-fkzPQ7PK94pyw/edit#gid=0		Nun Luftfahrt war schon immer überflüssig wie ein Kropf. Nun hat sie uns die infizierten Leute aus China gebracht... Warum die noch unterstützen?	dissence						
	mattias										Gehard	economie	https://docs.google.com/spreadsheets/d/1_2vY_Mvg-8PFHa0N7SalhmoBKtqUx-fkzPQ7PK94pyw/edit#gid=0 		Condor gerettet, damit dieser für mindestens 2 Jahre eingemottet werden kann, wer musste denn da gerettet werden?	insinuation						
	mattias										Matthias	economie	https://docs.google.com/spreadsheets/d/1_2vY_Mvg-8PFHa0N7SalhmoBKtqUx-fkzPQ7PK94pyw/edit#gid=0		So wird ein börsennotierter Konzern mit Steuergeldern gepampert, dessen Aktien aktuell mit über 9% im Plaus sind/ quasi durch die Decke gehen.	insinuation						
	mattias										Heinz	economie	https://docs.google.com/spreadsheets/d/1_2vY_Mvg-8PFHa0N7SalhmoBKtqUx-fkzPQ7PK94pyw/edit#gid=0		Wow, allein für diese 550 Mio. hätte man jedem der 4000 Arbeitsplätze 26 Jahre lang ALG2 zahlen können.	praise						
	mattias										Pragmatist	politics	https://docs.google.com/spreadsheets/d/1_2vY_Mvg-8PFHa0N7SalhmoBKtqUx-fkzPQ7PK94pyw/edit#gid=0		Kann der Spiegel seinen Lesern einmal kurz erklären, warum die Dame eine viel-kritisierte First Lady ist? Wohl wieder ein Spiegel Erfindung	lecture						
	mattias										Wolf	politics	https://docs.google.com/spreadsheets/d/1_2vY_Mvg-8PFHa0N7SalhmoBKtqUx-fkzPQ7PK94pyw/edit#gid=0		Sie beweist mehr Geschick und Feingefühl als ihr Mann...“ Geht es noch zynischer, Frau Autorin ? Beide Begriffe in Verbindung mit DT zu benutzen, ist mehr als töricht, gar sträflich.	lecture						
	mattias										Barosch	security	https://docs.google.com/spreadsheets/d/1_2vY_Mvg-8PFHa0N7SalhmoBKtqUx-fkzPQ7PK94pyw/edit#gid=0		In puncto Datenschutz vertraue ich grundsätzlich niemanden mehr - auch nicht der Bundesregierung (oder deren Beratern). Leider hat man keine Chance zu überprüfen, was mit seinen Daten wirklich passiert. Nein, tut mir leid die Corona App kommt nicht aufs Handy - und selbiges wird nur mitgeführt, wenn es sich nicht vermeiden lässt.	praise						
	mattias										Thyphus	security	https://docs.google.com/spreadsheets/d/1_2vY_Mvg-8PFHa0N7SalhmoBKtqUx-fkzPQ7PK94pyw/edit#gid=0		Ein Großteil der U50 Generationen braucht die App mangels Gefährdung nicht.	lecture						
	mattias										Sagre_bleu	security	https://docs.google.com/spreadsheets/d/1_2vY_Mvg-8PFHa0N7SalhmoBKtqUx-fkzPQ7PK94pyw/edit#gid=0		Ist eigentlich bekannt, dass die Polizei Infiziertenlisten erhält?	lecture						
	mattias										ikoniste	art	https://docs.google.com/spreadsheets/d/1_2vY_Mvg-8PFHa0N7SalhmoBKtqUx-fkzPQ7PK94pyw/edit#gid=0		kommt jetzt die Herdenimmunität der Künstler gegen das Virus des Surrealismus?	insinuation						
	mattias										sin.lust	art	https://docs.google.com/spreadsheets/d/1_2vY_Mvg-8PFHa0N7SalhmoBKtqUx-fkzPQ7PK94pyw/edit#gid=0		Hätte der Autor diese so auch rechtzeitig gesehen und erkannt, hätte er abgelassen von der Feder, der Tinte, dem sinnfreien Versuch sich über die Kunst zu erheben, nur weil er sich eventuell selbst gefangen fühlt.	lecture						
	mattias										Rod Flanders	art	https://docs.google.com/spreadsheets/d/1_2vY_Mvg-8PFHa0N7SalhmoBKtqUx-fkzPQ7PK94pyw/edit#gid=0		vielleicht sollte besser einfach die Kunst ansehen und dann entscheiden	lecture						
	mattias										RE4GER	politics	https://docs.google.com/spreadsheets/d/1_2vY_Mvg-8PFHa0N7SalhmoBKtqUx-fkzPQ7PK94pyw/edit#gid=0		Bei Anwendung der Schengenregelung hat man dieses Problem erst gar nicht, es sei denn der Asylbewerber kommt direkt mit dem Flugzeug nach Deutschland. Jetzt mit kleinkarierter Bürokratie zu versuchen ein paar Hundert loszuwerden, wenn man sich unnötig mit Hunderttausenden belastet hat, ist meiner Meinung nach Nonsens, reine Symbolpolitik.	lecture						
	mattias										pvonwerter	politics	https://docs.google.com/spreadsheets/d/1_2vY_Mvg-8PFHa0N7SalhmoBKtqUx-fkzPQ7PK94pyw/edit#gid=0		"Das ganze EU-ASYLRECHT funktioniert schon seit der Flüchtlingswelle nicht mehr;"	lecture						
	mattias										pvonwerter	art	https://docs.google.com/spreadsheets/d/1_2vY_Mvg-8PFHa0N7SalhmoBKtqUx-fkzPQ7PK94pyw/edit#gid=0		Gerade in den schweren Zeiten die Brasilien durchmacht , wird seine kritische Stimme fehlen!	praise						
	mattias										Haarfoen	politics	https://docs.google.com/spreadsheets/d/1_2vY_Mvg-8PFHa0N7SalhmoBKtqUx-fkzPQ7PK94pyw/edit#gid=0		"Interessant ist der Vergleich mit dem ""Straßenräuber""."	insinuation						
	mattias										otto25	politics	https://docs.google.com/spreadsheets/d/1_2vY_Mvg-8PFHa0N7SalhmoBKtqUx-fkzPQ7PK94pyw/edit#gid=0		"Ich denke diese Wortwahl wurde eher für die populistischen Anhänger, die er mit seinem bisherigen Politikkurs ""überzeugen"" konnte, gewählt."	insinuation						
	mattias										mhwse	politics	https://docs.google.com/spreadsheets/d/1_2vY_Mvg-8PFHa0N7SalhmoBKtqUx-fkzPQ7PK94pyw/edit#gid=0		oder: wer ist gefährlicher Johnson oder das Virus?	insinuation						
	mattias										Sauerkraut	politics	https://docs.google.com/spreadsheets/d/1_2vY_Mvg-8PFHa0N7SalhmoBKtqUx-fkzPQ7PK94pyw/edit#gid=0		Hier hat Boris Johnson ausnahmsweise vollkommen Recht!	praise						
	mattias										Sebastian	politics	https://docs.google.com/spreadsheets/d/1_2vY_Mvg-8PFHa0N7SalhmoBKtqUx-fkzPQ7PK94pyw/edit#gid=0		"Von was für einem ""Erfolg"" spricht dieser Mann, der die kontaktbeschränkenden Maßnahmen wenigstens zwei Wochen zu spät angeordnet hat? Denkt er dabei an diejenigen, die er auf dem Gewissen hat? Was für ein Dämagoge."	insinuation						
	mattias										Alucard	politics	https://docs.google.com/spreadsheets/d/1_2vY_Mvg-8PFHa0N7SalhmoBKtqUx-fkzPQ7PK94pyw/edit#gid=0		Wenn sich jemand schon als lernfähig erweist sollte man ihm das nicht vorwerfen. Ok, möglicherweise hat er's nur begriffen weil's mit dem Vorschlaghammer kam, aber immerhin.	lecture						
	mattias										Boris	politics	https://docs.google.com/spreadsheets/d/1_2vY_Mvg-8PFHa0N7SalhmoBKtqUx-fkzPQ7PK94pyw/edit#gid=0		Ja, und das ist bei allen Menschen hin und wieder genauso.	praise						
	mattias										AntoWitt	politics	https://docs.google.com/spreadsheets/d/1_2vY_Mvg-8PFHa0N7SalhmoBKtqUx-fkzPQ7PK94pyw/edit#gid=0		Mit Straßenräuberei kennt er sich ja aus, der Boris. Und jetzt vom Saulus zum Paulus...?	insinuation						
	mattias										Heidrun	politics	https://docs.google.com/spreadsheets/d/1_2vY_Mvg-8PFHa0N7SalhmoBKtqUx-fkzPQ7PK94pyw/edit#gid=0		Sieh an, auch er kommt zur Vernunft. Besser spät als nie, soll sich Herr Laschet mal ein Beisspiel nehmen	praise						
	mattias										karlmeidrobbe	health	https://docs.google.com/spreadsheets/d/1_2vY_Mvg-8PFHa0N7SalhmoBKtqUx-fkzPQ7PK94pyw/edit#gid=0		Es ist an der Zeit aufzuschlüsseln, wo die Infektionen stattfinden. Ich habe den Eindruck, eine Vielzahl der Infektionen findet in besonders gefährdeten Massenunterkünften (Krankenhaus, Seniorenheim, Flüchtlingsunterkunft) statt und weniger in der freien Wildbahn.	praise						
	mattias										schwerenoeter	health	https://docs.google.com/spreadsheets/d/1_2vY_Mvg-8PFHa0N7SalhmoBKtqUx-fkzPQ7PK94pyw/edit#gid=0		In manchen Landkreisen sind Einschränkungen eigentlich nicht mehr zu rechtfertigen. Jedenfalls muss irgendetwas geschehen, um die Kooperationsbereitschaft hoch zu halten.	praise						
	mattias										schwerenoeter	health	https://docs.google.com/spreadsheets/d/1_2vY_Mvg-8PFHa0N7SalhmoBKtqUx-fkzPQ7PK94pyw/edit#gid=0		Den Ausnahmezustand als Normalzustand beizubehalten kann nicht die Lösung sein.	praise						
	mattias										schwerenoeter	health	https://docs.google.com/spreadsheets/d/1_2vY_Mvg-8PFHa0N7SalhmoBKtqUx-fkzPQ7PK94pyw/edit#gid=0		Wir sind hier genau Ihrer Meinung. Mit systematischer Rückverfolgung sind die relativ wenigen aktiven Infizierer (ca. 40.000 x Dunkelzifferfaktor 3 bis 5 ´= ca.	praise						
	mattias										wolf	culture	https://docs.google.com/spreadsheets/d/1_2vY_Mvg-8PFHa0N7SalhmoBKtqUx-fkzPQ7PK94pyw/edit#gid=0		China ist eines der Länder, wo Kritiker nicht nur eingesperrt werden, sondern für immer verschwinden.	praise						
	mattias										milan	politics	https://docs.google.com/spreadsheets/d/1_2vY_Mvg-8PFHa0N7SalhmoBKtqUx-fkzPQ7PK94pyw/edit#gid=0		Eine Handvoll EU Bürokraten/ Karriereristen/Lobbyisten verscherbeln die Demokratischen Werte fürn Appel&Ei.	insinuation						
	mattias										erlima1	politics	https://docs.google.com/spreadsheets/d/1_2vY_Mvg-8PFHa0N7SalhmoBKtqUx-fkzPQ7PK94pyw/edit#gid=0		ieber viel mehr China und Russland als diese Chaoten in Amerika!	praise						
	mattias										calvin	politics	https://docs.google.com/spreadsheets/d/1_2vY_Mvg-8PFHa0N7SalhmoBKtqUx-fkzPQ7PK94pyw/edit#gid=0		..sagt ein Trump-Jünger! Wenn jede Regierung zahlen müsste, wenn sie lügt und betrügt, dann hätten wir alle keine Geldsorgen mehr.	praise						
	mattias										robert	politics	https://docs.google.com/spreadsheets/d/1_2vY_Mvg-8PFHa0N7SalhmoBKtqUx-fkzPQ7PK94pyw/edit#gid=0		gibt es auf diesem Planeten eigentlich noch irgendetwas, für was Deutschland nicht verantwortlich ist?	insinuation						
	mattias										arnold	politics	https://docs.google.com/spreadsheets/d/1_2vY_Mvg-8PFHa0N7SalhmoBKtqUx-fkzPQ7PK94pyw/edit#gid=0		600 Millionen Menschen haben in Afrika noch keinen Zugang zu Strom	dissence						
	mattias										arnold	politics	https://docs.google.com/spreadsheets/d/1_2vY_Mvg-8PFHa0N7SalhmoBKtqUx-fkzPQ7PK94pyw/edit#gid=0		"Wenn jeder eine Steckdose auf der Basis von Kohle bekommen würde, müssten hunderte neue Kohlekraftwerke gebaut werden."""	dissence						
	mattias										arnold	politics	https://docs.google.com/spreadsheets/d/1_2vY_Mvg-8PFHa0N7SalhmoBKtqUx-fkzPQ7PK94pyw/edit#gid=0		... also wäre der umweltfreundlichste Weg es einfach dabei zu belassen das 600 Millionen Menschen keinen Zugang zu Strom haben.	dissence						
	mattias										guenter	politics	https://www.spiegel.de/politik/ausland/juengste-buergermeisterin-in-afghanistan-meine-gegner-sind-mich-nicht-losgeworden-a-ac90eb50-869b-4171-9b85-7b80c98be8fd#kommentare		Man wünscht Ihr, dass Sie es überlebt.	praise						
	mattias										guenter	politics	https://www.spiegel.de/politik/ausland/juengste-buergermeisterin-in-afghanistan-meine-gegner-sind-mich-nicht-losgeworden-a-ac90eb50-869b-4171-9b85-7b80c98be8fd#kommentare		Eine wirklich tapfere Frau.	praise						
	mattias										daniel	politics	https://docs.google.com/spreadsheets/d/1_2vY_Mvg-8PFHa0N7SalhmoBKtqUx-fkzPQ7PK94pyw/edit#gid=0 		Danke, mal wieder ein guter Beitrag, den man so selten in dem Zusammenhang finder!	praise						
	mattias										henry	politics	https://docs.google.com/spreadsheets/d/1_2vY_Mvg-8PFHa0N7SalhmoBKtqUx-fkzPQ7PK94pyw/edit#gid=0		Meinen grossen Respekt! Es stimmt einen traurig,, dass die Taliban trotz Friedensvertrages weiter morden.	praise						
	mattias										henry	politics	https://docs.google.com/spreadsheets/d/1_2vY_Mvg-8PFHa0N7SalhmoBKtqUx-fkzPQ7PK94pyw/edit#gid=0		Es sollte inzwischen jedem halbwegs gescheiten Afghanen klar sein, dass mit der Taliban kein Fortschritt in Afghanistan moeglich ist...und mit Fortschritt meine ich nicht die Dekadenz die man in vielen westlichen Gesellschaften leider auch antrifft, sondern Dinge wie funktionierende Infrastruktur, gute Schulen, gute Krankenhaeuser, Fabirken wo Dinge hergestellt werden etc.	praise						
	mattias										augustus	politics	https://docs.google.com/spreadsheets/d/1_2vY_Mvg-8PFHa0N7SalhmoBKtqUx-fkzPQ7PK94pyw/edit#gid=0		st doch klar, dass das Abkommen von Trump mit den Taliban nicht das Papier wert ist, auf dem es geschrieben steht.	praise						
	mattias										augustus	politics	https://docs.google.com/spreadsheets/d/1_2vY_Mvg-8PFHa0N7SalhmoBKtqUx-fkzPQ7PK94pyw/edit#gid=0		Menschen wie Frau Ghafari werden auf grausamste Art und Weise ermordet werden.	praise						
	mattias										augustus	politics	https://docs.google.com/spreadsheets/d/1_2vY_Mvg-8PFHa0N7SalhmoBKtqUx-fkzPQ7PK94pyw/edit#gid=0		Das ist die Zukunft Afghanistans, die Trump, wenn schon nicht bewußt, so doch zumindest billigend in Kauf zu nehmen bereit ist	praise						
	mattias										geotie	politics	https://docs.google.com/spreadsheets/d/1_2vY_Mvg-8PFHa0N7SalhmoBKtqUx-fkzPQ7PK94pyw/edit#gid=0		Erst kamen die US-Amis mehr oder weniger ungefragt, haben dann eine Sicherheit vorgegaukelt und dann kam Trump und lässt die Leute in Stich?	dissence						
	mattias										geotie	politics	https://docs.google.com/spreadsheets/d/1_2vY_Mvg-8PFHa0N7SalhmoBKtqUx-fkzPQ7PK94pyw/edit#gid=0		der wer sitzt da gerade im Weißen Haus und versucht sich unter einer 10tausend Watt Lampe eine Domestosspritze zu geben?	dissence						
	mattias										geotie	politics	https://docs.google.com/spreadsheets/d/1_2vY_Mvg-8PFHa0N7SalhmoBKtqUx-fkzPQ7PK94pyw/edit#gid=0		Wir werden in den nächsten Tagen sehen, ob seine Underdogs ihn davon abhalten konnten.	dissence						
	mattias										goetie	politics	https://docs.google.com/spreadsheets/d/1_2vY_Mvg-8PFHa0N7SalhmoBKtqUx-fkzPQ7PK94pyw/edit#gid=0		"Das was Paschtu Ghafari sagt über die Verhandlungen von den USA und Taliban und der Freilassung von 5000 Taliban , waren auch meine Gedanken beim erstmaligen Lesen vor ein paar Wochen ; Freigegeben zum Abschuss nach dem Abzug der USA ."	praise						
	mattias										cumina	economie	https://docs.google.com/spreadsheets/d/1_2vY_Mvg-8PFHa0N7SalhmoBKtqUx-fkzPQ7PK94pyw/edit#gid=0		rump hat auch ne laaaange Mauer versprochern, die die Mexikaner zahlen werden. Er verprach auch Einblick in seine Steuererklärung, er versprach auch dass die Bauern, sowie der Kohle- und Montankomplex wieder wachsen werden.	insinuation						
	mattias										isadora	economie	https://docs.google.com/spreadsheets/d/1_2vY_Mvg-8PFHa0N7SalhmoBKtqUx-fkzPQ7PK94pyw/edit#gid=0		Er hat sogar versprochen, dass er Obamacare durch etwas viel viel besseres ersetzen würde. Darauf warten die Corona-Opfer bis heute und zwar bis zum St.-Nimmerleinstag.	insinuation						
	mattias										edds	economie	https://docs.google.com/spreadsheets/d/1_2vY_Mvg-8PFHa0N7SalhmoBKtqUx-fkzPQ7PK94pyw/edit#gid=0		Mist, ich hatte auch gehofft, dass es gegen Ende des Jahres wieder aufwärts geht. Aber wenn Trump das behauptet, wird es höchstwahrscheinlich doch nicht so sein.	insinuation						
	mattias										franz	economie	https://docs.google.com/spreadsheets/d/1_2vY_Mvg-8PFHa0N7SalhmoBKtqUx-fkzPQ7PK94pyw/edit#gid=0		Alles Wahlkampf, der denkt nur an den Flugzeugträger mit seinem Namen	insinuation						
